REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MAINSPEF_CODE,MAINSPEF_DESCRIPTION,MEASURE_VALUE
2324,All Attendances by Age and Gender,0 All Genders,All,All,1173424
2324,All Attendances by Age and Gender,0 Female,All,All,530786
2324,All Attendances by Age and Gender,0 Male,All,All,624127
2324,All Attendances by Age and Gender,10-14 All Genders,All,All,2841219
2324,All Attendances by Age and Gender,10-14 Female,All,All,1333123
2324,All Attendances by Age and Gender,10-14 Male,All,All,1474473
2324,All Attendances by Age and Gender,1-4 All Genders,All,All,2100648
2324,All Attendances by Age and Gender,1-4 Female,All,All,892342
2324,All Attendances by Age and Gender,1-4 Male,All,All,1184559
2324,All Attendances by Age and Gender,15 All Genders,All,All,715453
2324,All Attendances by Age and Gender,15 Female,All,All,370656
2324,All Attendances by Age and Gender,15 Male,All,All,337302
2324,All Attendances by Age and Gender,16 All Genders,All,All,658176
2324,All Attendances by Age and Gender,16 Female,All,All,352032
2324,All Attendances by Age and Gender,16 Male,All,All,298187
2324,All Attendances by Age and Gender,17 All Genders,All,All,625592
2324,All Attendances by Age and Gender,17 Female,All,All,347374
2324,All Attendances by Age and Gender,17 Male,All,All,270382
2324,All Attendances by Age and Gender,18 All Genders,All,All,541991
2324,All Attendances by Age and Gender,18 Female,All,All,316441
2324,All Attendances by Age and Gender,18 Male,All,All,219166
2324,All Attendances by Age and Gender,19 All Genders,All,All,537024
2324,All Attendances by Age and Gender,19 Female,All,All,338215
2324,All Attendances by Age and Gender,19 Male,All,All,192656
2324,All Attendances by Age and Gender,20-24 All Genders,All,All,3284520
2324,All Attendances by Age and Gender,20-24 Female,All,All,2300726
2324,All Attendances by Age and Gender,20-24 Male,All,All,950748
2324,All Attendances by Age and Gender,25-29 All Genders,All,All,5221209
2324,All Attendances by Age and Gender,25-29 Female,All,All,4025991
2324,All Attendances by Age and Gender,25-29 Male,All,All,1144535
2324,All Attendances by Age and Gender,30-34 All Genders,All,All,6722000
2324,All Attendances by Age and Gender,30-34 Female,All,All,5277212
2324,All Attendances by Age and Gender,30-34 Male,All,All,1383997
2324,All Attendances by Age and Gender,35-39 All Genders,All,All,6048851
2324,All Attendances by Age and Gender,35-39 Female,All,All,4454732
2324,All Attendances by Age and Gender,35-39 Male,All,All,1535599
2324,All Attendances by Age and Gender,40-44 All Genders,All,All,5069079
2324,All Attendances by Age and Gender,40-44 Female,All,All,3296128
2324,All Attendances by Age and Gender,40-44 Male,All,All,1716797
2324,All Attendances by Age and Gender,45-49 All Genders,All,All,4880789
2324,All Attendances by Age and Gender,45-49 Female,All,All,2975097
