REPORTING_PERIOD,MEASURE_TYPE,MEASURE,MEASURE_VALUE
2324,Activity by Ethnicity,All Attendances - African (Black or Black British),1867146.0
2324,Activity by Ethnicity,All Attendances - All Ethnic Groups,104634817.0
2324,Activity by Ethnicity,All Attendances - Any other Asian background,1630280.0
2324,Activity by Ethnicity,All Attendances - Any other Black background,745149.0
2324,Activity by Ethnicity,All Attendances - Any other ethnic group,2495444.0
2324,Activity by Ethnicity,All Attendances - Any other Mixed background,699894.0
2324,Activity by Ethnicity,All Attendances - Any other White background,4953187.0
2324,Activity by Ethnicity,All Attendances - Bangladeshi (Asian or Asian British),755490.0
2324,Activity by Ethnicity,All Attendances - British (White),62675159.0
2324,Activity by Ethnicity,All Attendances - Caribbean (Black or Black British),1112543.0
2324,Activity by Ethnicity,All Attendances - Chinese (other ethnic group),363025.0
2324,Activity by Ethnicity,All Attendances - Indian (Asian or Asian British),2391156.0
2324,Activity by Ethnicity,All Attendances - Irish (White),639403.0
2324,Activity by Ethnicity,All Attendances - Not Known,8993663.0
2324,Activity by Ethnicity,All Attendances - Not stated,12245455.0
2324,Activity by Ethnicity,All Attendances - Pakistani (Asian or Asian British),2175465.0
2324,Activity by Ethnicity,All Attendances - White and Asian (Mixed),301256.0
2324,Activity by Ethnicity,All Attendances - White and Black African (Mixed),202615.0
2324,Activity by Ethnicity,All Attendances - White and Black Caribbean (Mixed),388487.0
2324,Activity by Ethnicity,Attended appointment - African (Black or Black British),507553.0
2324,Activity by Ethnicity,Attended appointment - All Ethnic Groups,29521220.0
2324,Activity by Ethnicity,Attended appointment - Any other Asian background,474592.0
2324,Activity by Ethnicity,Attended appointment - Any other Black background,214327.0
2324,Activity by Ethnicity,Attended appointment - Any other ethnic group,747981.0
2324,Activity by Ethnicity,Attended appointment - Any other Mixed background,216063.0
2324,Activity by Ethnicity,Attended appointment - Any other White background,1488770.0
2324,Activity by Ethnicity,Attended appointment - Bangladeshi (Asian or Asian British),226869.0
2324,Activity by Ethnicity,Attended appointment - British (White),16970338.0
2324,Activity by Ethnicity,Attended appointment - Caribbean (Black or Black British),286187.0
2324,Activity by Ethnicity,Attended appointment - Chinese (other ethnic group),100579.0
2324,Activity by Ethnicity,Attended appointment - Indian (Asian or Asian British),679204.0
2324,Activity by Ethnicity,Attended appointment - Irish (White),162903.0
2324,Activity by Ethnicity,Attended appointment - Not Known,2827067.0
2324,Activity by Ethnicity,Attended appointment - Not stated,3778268.0
2324,Activity by Ethnicity,Attended appointment - Pakistani (Asian or Asian British),591451.0
2324,Activity by Ethnicity,Attended appointment - White and Asian (Mixed),84925.0
2324,Activity by Ethnicity,Attended appointment - White and Black African (Mixed),58225.0
2324,Activity by Ethnicity,Attended appointment - White and Black Caribbean (Mixed),105918.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - African (Black or Black British),652.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - All Ethnic Groups,7795.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Any other Asian background,457.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Any other Black background,246.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Any other ethnic group,328.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Any other Mixed background,86.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Any other White background,990.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Bangladeshi (Asian or Asian British),215.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - British (White),2105.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Caribbean (Black or Black British),384.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Chinese (other ethnic group),44.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Indian (Asian or Asian British),453.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Irish (White),72.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Not Known,309.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Not stated,1150.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - Pakistani (Asian or Asian British),150.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - White and Asian (Mixed),39.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - White and Black African (Mixed),54.0
2324,Activity by Ethnicity,Attended but first/subsequent/tele unknown - White and Black Caribbean (Mixed),61.0
2324,Activity by Ethnicity,Attended subsequent appointment - African (Black or Black British),1094878.0
2324,Activity by Ethnicity,Attended subsequent appointment - All Ethnic Groups,56551432.0
2324,Activity by Ethnicity,Attended subsequent appointment - Any other Asian background,914996.0
2324,Activity by Ethnicity,Attended subsequent appointment - Any other Black background,412794.0
2324,Activity by Ethnicity,Attended subsequent appointment - Any other ethnic group,1365722.0
2324,Activity by Ethnicity,Attended subsequent appointment - Any other Mixed background,381950.0
2324,Activity by Ethnicity,Attended subsequent appointment - Any other White background,2683526.0
2324,Activity by Ethnicity,Attended subsequent appointment - Bangladeshi (Asian or Asian British),433059.0
2324,Activity by Ethnicity,Attended subsequent appointment - British (White),33931790.0
2324,Activity by Ethnicity,Attended subsequent appointment - Caribbean (Black or Black British),637537.0
2324,Activity by Ethnicity,Attended subsequent appointment - Chinese (other ethnic group),210120.0
2324,Activity by Ethnicity,Attended subsequent appointment - Indian (Asian or Asian British),1354522.0
2324,Activity by Ethnicity,Attended subsequent appointment - Irish (White),357687.0
2324,Activity by Ethnicity,Attended subsequent appointment - Not Known,4692622.0
2324,Activity by Ethnicity,Attended subsequent appointment - Not stated,6298352.0
2324,Activity by Ethnicity,Attended subsequent appointment - Pakistani (Asian or Asian British),1278290.0
2324,Activity by Ethnicity,Attended subsequent appointment - White and Asian (Mixed),170812.0
2324,Activity by Ethnicity,Attended subsequent appointment - White and Black African (Mixed),113334.0
2324,Activity by Ethnicity,Attended subsequent appointment - White and Black Caribbean (Mixed),219441.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - African (Black or Black British),203555.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - All Ethnic Groups,14080684.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Any other Asian background,176909.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Any other Black background,89160.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Any other ethnic group,276290.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Any other Mixed background,75966.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Any other White background,577147.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Bangladeshi (Asian or Asian British),71115.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - British (White),9072866.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Caribbean (Black or Black British),147830.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Chinese (other ethnic group),39667.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Indian (Asian or Asian British),267029.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Irish (White),91488.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Not Known,1052828.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Not stated,1608310.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - Pakistani (Asian or Asian British),224604.0
2324,Activity by Ethnicity,Attended subsequent tele consultation - White and Asian (Mixed),34425.0
