REPORTING_PERIOD,MEASURE_TYPE,MEASURE,CODE,CODE_DESCRIPTION,MEASURE_VALUE
2324,Activity by Main Speciaity Code,All Attendances,100,General Surgery,4954058
2324,Activity by Main Speciaity Code,All Attendances,101,Urology,2765938
2324,Activity by Main Speciaity Code,All Attendances,107,Vascular Surgery,47786
2324,Activity by Main Speciaity Code,All Attendances,110,Trauma & Orthopaedics,7280703
2324,Activity by Main Speciaity Code,All Attendances,120,"Ear, Nose & Throat (ENT)",2814999
2324,Activity by Main Speciaity Code,All Attendances,130,Ophthalmology,8898379
2324,Activity by Main Speciaity Code,All Attendances,140,Oral Surgery,726643
2324,Activity by Main Speciaity Code,All Attendances,141,Restorative Dentistry,260216
2324,Activity by Main Speciaity Code,All Attendances,142,Paediatric Dentistry,98585
2324,Activity by Main Speciaity Code,All Attendances,143,Orthodontics,580241
2324,Activity by Main Speciaity Code,All Attendances,145,Oral & Maxillo Facial Surgery,595076
2324,Activity by Main Speciaity Code,All Attendances,146,Endodontics,17632
2324,Activity by Main Speciaity Code,All Attendances,147,Periodontics,10410
2324,Activity by Main Speciaity Code,All Attendances,148,Prosthodontics,2763
2324,Activity by Main Speciaity Code,All Attendances,149,Surgical Dentistry,77
2324,Activity by Main Speciaity Code,All Attendances,150,Neurosurgery,425439
2324,Activity by Main Speciaity Code,All Attendances,160,Plastic Surgery,1070770
2324,Activity by Main Speciaity Code,All Attendances,170,Cardiothoracic Surgery,195969
2324,Activity by Main Speciaity Code,All Attendances,171,Paediatric Surgery,146453
2324,Activity by Main Speciaity Code,All Attendances,180,Accident & Emergency (A&E),182651
2324,Activity by Main Speciaity Code,All Attendances,190,Anaesthetics,1341880
2324,Activity by Main Speciaity Code,All Attendances,192,Critical Care Medicine,21515
2324,Activity by Main Speciaity Code,All Attendances,300,General Medicine,4105019
2324,Activity by Main Speciaity Code,All Attendances,301,Gastroenterology,2052864
2324,Activity by Main Speciaity Code,All Attendances,302,Endocrinology,1056228
2324,Activity by Main Speciaity Code,All Attendances,303,Clinical Haematology,2374810
2324,Activity by Main Speciaity Code,All Attendances,304,Clinical Physiology,307725
2324,Activity by Main Speciaity Code,All Attendances,305,Clinical Pharmacology,14695
2324,Activity by Main Speciaity Code,All Attendances,310,Audiological Medicine,549449
2324,Activity by Main Speciaity Code,All Attendances,311,Clinical Genetics,114511
2324,Activity by Main Speciaity Code,All Attendances,313,Clinical Immunology & Allergy,105785
